lemma,pos,semantic_relationship,sense_source,sense_target
bring,verb,narrower,cause to come into a particular state or condition,to cause the accession or obtaining of; to procure; to make to come; to produce; to draw to.
bring,verb,narrower,cause to happen or to occur as a consequence,to cause the accession or obtaining of; to procure; to make to come; to produce; to draw to.
bring,verb,exact,be sold for a certain price,"to produce in exchange; to sell for; to fetch; as, what does coal  per ton?"
skirl,verb,exact,"make a shrill, wailing sound",to utter in a shrill tone; to scream.
bladderpod,noun,exact,North American wild lobelia having small blue flowers and inflated capsules formerly used as an antispasmodic,a north american wild lobelia () having small blue flowers and inflated capsules formerly used as an antispasmodic.
bladderpod,noun,exact,annual or perennial herbs with inflated seed pods; some placed in genus Lesquerella,any of a number of annual or perennial herbs with inflated seed pods; some are placed in the genus .
bladderpod,noun,exact,any of several plants of the genus Physaria having racemose yellow flowers and inflated pods,any of several plants of the genus  having racemose yellow flowers and inflated pods.
bladderpod,noun,exact,any of several hairy North American herbs having yellow racemose flowers and inflated pods,any of several hairy north american herbs having yellow racemose flowers and inflated pods.
bonding,noun,exact,fastening firmly together,the process of fastening firmly together.
cocklebur,noun,exact,any coarse weed of the genus Xanthium having spiny burrs,"a coarse, composite weed, having a rough or prickly fruit; one of several species of the genus ; -- called also ."
premier,adjective,exact,first in rank or degree,first; chief; principal;
premier,adjective,broader,preceding all others in time,most ancient; -- said of the peer bearing the oldest title of his degree.
unite,verb,exact,become one,"to become one; to be cemented or consolidated; to combine, as by adhesion or mixture; to coalesce; to grow together."
unite,verb,related,bring together for a common purpose or action or ideology or in a shared situation,"hence, to join by a legal or moral bond, as families by marriage, nations by treaty, men by opinions; to join in interest, affection, fellowship, or the like; to cause to agree; to harmonize; to associate; to attach."
unite,verb,exact,join or combine,"to put together so as to make one; to join, as two or more constituents, to form a whole; to combine; to connect; to join; to cause to adhere;"
unite,verb,exact,act in concert or unite in a common purpose or belief,to join in an act; to concur; to act in concert; .
stank,verb,exact,smell badly and offensively,stunk.
reecho,verb,exact,"echo repeatedly, echo again and again",to echo back; to reverberate again; .
reecho,verb,exact,repeat back like an echo,to repeat back.
reecho,verb,exact,repeat or return an echo again or repeatedly; send (an echo) back,"to give echoes; to return back, or be reverberated, as an echo; to resound; to be resonant; to echo repeatedly, again and again."
saunter,noun,narrower,a careless leisurely gait,"a sauntering, or a sauntering place."
saunter,noun,narrower,a leisurely walk (usually in some public place),"a sauntering, or a sauntering place."
deftly,adverb,exact,with dexterity; in a dexterous manner,aptly; fitly; dexterously; neatly.
superintendent,noun,exact,a person who directs and manages an organization,"one who has the oversight and charge of some place, institution, or organization, affairs, etc., with the power of direction; ."
pentecostal,adjective,exact,of or relating to or occurring at Pentecost,of or pertaining to pentecost or to whitsuntide.
inspissation,noun,narrower,the act of thickening,"the act or the process of inspissating, or thickening a fluid substance, as by evaporation; also, the state of being so thickened."
inspissation,noun,narrower,the process of thickening by dehydration,"the act or the process of inspissating, or thickening a fluid substance, as by evaporation; also, the state of being so thickened."
magnificence,noun,exact,the quality of being magnificent or splendid or grand,the act of doing what is magnificent; the state or quality of being magnificent.
chateaubriand,noun,exact,a very thick center cut of beef tenderloin,"a double-thick center cut of beef tenderloin, broiled and served with a sauce and potatoes."
hearth,noun,exact,an open recess in a wall at the base of a chimney where a fire can be built,"the floor of a furnace, on which the material to be heated lies, or the lowest part of a melting furnace, into which the melted material settles; ."
hearth,noun,exact,an area near a fireplace (usually paved and extending out into a room),"the pavement or floor of brick, stone, or metal in a chimney, on which a fire is made; the floor of a fireplace; also, a corresponding part of a stove."
hearth,noun,exact,home symbolized as a part of the fireplace,"the house itself, as the abode of comfort to its inmates and of hospitality to strangers; fireside."
petty,adjective,narrower,(informal) small and of little importance,"little; trifling; inconsiderable; unimportant; also, inferior; subordinate;"
petty,adjective,narrower,inferior in rank or status,"little; trifling; inconsiderable; unimportant; also, inferior; subordinate;"
dogtooth,noun,exact,a carved pyramidal ornament; used in 13th century England,"an ornament common in gothic architecture, consisting of pointed projections resembling teeth; -- also called ."
